飞书路径	类型	Token	名称	状态
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/B1 -1F 20201128.dwg	file	boxcndKUB79OODuJQ88gQCVFO5c	B1 -1F 20201128.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/logo的副本.png	file	boxcnGHahNlfEwXhGPacdUFiAwd	logo的副本.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/WechatIMG19484.jpeg	file	boxcni2EfiXqeHCC6iXcOYy9auh	WechatIMG19484.jpeg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/WechatIMG19483.psd	file	boxcnoIfz5np0dXMapHK4Rtcr16	WechatIMG19483.psd	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/logo.png	file	boxcnw1cGHq49dLW8tfDbmWreie	logo.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/Zebra BB  layout 20201130.dwl	file	boxcnjvQGffWZlKUFoJKyy1duRc	Zebra BB  layout 20201130.dwl	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/Zebra BB  layout 20201130.dwl2	file	boxcnVlS46pZvuGP09SLEz9mzph	Zebra BB  layout 20201130.dwl2	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/B1 -1F 20201128（1）.dwg	file	boxcnqjRjf8UesWWodzL1qV928g	B1 -1F 20201128（1）.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/Zebra BB  layout 20201130_1_1992780833_6270.sv$.dxf	file	boxcnMyk7ltM2hxvhaw3lBClX7d	Zebra BB  layout 20201130_1_1992780833_6270.sv$.dxf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/B1 2F.pdf	file	boxcn1FEpTwjS9Nsku45oTIValc	B1 2F.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/WechatIMG20538.jpeg	file	boxcn7CwtUKaSPLXksJXT2P0MZd	WechatIMG20538.jpeg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/ 业睿/logobai.png	file	boxcnjmGVjGpnxaD6G5R99m280c	logobai.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/部署方案/一层.png	file	boxcnBDly3mx41XyGBsW5L6jnKU	一层.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/部署方案/花园.png	file	boxcnW3T3zcRzo2DBuTjhoHXq1c	花园.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/部署方案/部署方案.docx	file	boxcnpHO8LgO1yfkQxB1P0SNxxe	部署方案.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/部署方案/二层.png	file	boxcnRmU6Pj9L2HSydLjigT0j2c	二层.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/部署方案/部署方案.pdf	file	boxcnQj7kJBGEwHv4F1aLkpIwih	部署方案.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/03-2-9层干线平面图-Model.pdf	file	boxcnbq2YeJPunprSf1cDVTq2jc	03-2-9层干线平面图-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/04-10-15层干线平面图-Model.pdf	file	boxcnogv0N6JlQEpSd2hbl6DFqd	04-10-15层干线平面图-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/09-标准层弱电大样（一）-Model.pdf	file	boxcn6QaZJnCJimOYruNoZfQ7SS	09-标准层弱电大样（一）-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/05-机房层电气平面图-Model.pdf	file	boxcnNHTxQQUq3FupNDedjHYBru	05-机房层电气平面图-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/06-首层弱电大样（一）-Model.pdf	file	boxcnzHKvAi7xiteqkGjNneqfHf	06-首层弱电大样（一）-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/02-9#首层弱电平面图-Model.pdf	file	boxcnq3E6Ht2gQX2mbm2Jculaoc	02-9#首层弱电平面图-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/08-首层弱电大样（三）-Model.pdf	file	boxcn2vPYOubATTEoasFvm1Cehe	08-首层弱电大样（三）-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/01-9#地下弱电平面图-Model.pdf	file	boxcna1WKp4mbpa6yLvPxgxR0lh	01-9#地下弱电平面图-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/10-标准层弱电大样（二）-Model.pdf	file	boxcnwjEBxzrYvYXcgbv3BNAfbc	10-标准层弱电大样（二）-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/cad_pdf/07-首层弱电大样（二）-Model.pdf	file	boxcnHjMRtZR6EsNb8rTHjCzAow	07-首层弱电大样（二）-Model.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/泰康会议纪要2020-11-10.docx	file	boxcnYA4NetYUs9eTkS9kax4e7e	泰康会议纪要2020-11-10.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/莱讯科技全职群 2020-11-11 11.10.18.mp4	file	boxcnuhZIpLMUYhTxKTsbrha4uh	莱讯科技全职群 2020-11-11 11.10.18.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/莱讯科技全职群 2020-11-11 11.10.20.mp4	file	boxcnSchOcGcwnlU0gMZzJ0WBqg	莱讯科技全职群 2020-11-11 11.10.20.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/Desktop.zip	file	boxcnZT8bVtkpK3inJSSeK0dhmc	Desktop.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/结构专业图纸.rar	file	boxcncM5G9m8zRq184bn5J0hi5f	结构专业图纸.rar	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/11#楼平面图.zip	file	boxcn4Xc4tlbo0alA94k6E4Gsfc	11#楼平面图.zip	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/莱讯科技全职群 2020-11-11 11.10.13.mp4	file	boxcnIbJk0CY4aFO0TmIui3Dp3f	莱讯科技全职群 2020-11-11 11.10.13.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/泰康养老院/莱讯科技全职群 2020-11-11 11.10.15.mp4	file	boxcnlfUnyAI2Rt7yHa27HcotSd	莱讯科技全职群 2020-11-11 11.10.15.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0729.MOV	file	boxcnGBfAhKIIOsZWx8vRhumsmf	IMG_0729.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_3994.HEIC	file	boxcnFAkA91aKV9VFH1cTrPr50V	IMG_3994.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_1679.HEIC	file	boxcn44FeYUtilI9mgl4iuBmzYd	IMG_1679.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_5196.HEIC	file	boxcnCaHiYhrD7QInEXXYxI1uod	IMG_5196.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_4816.HEIC	file	boxcnjihUcmCO4ydxpymQUqUTDb	IMG_4816.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0728.MOV	file	boxcng92HqsqTxEJO0Z1M3OF2ag	IMG_0728.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0716.MOV	file	boxcnZdRVDOEM1XnMl5eEIoC5Ab	IMG_0716.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_9896.HEIC	file	boxcn0GEErbF9Dp8h3nXQ0ySye7	IMG_9896.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_9443.HEIC	file	boxcnOknLhEqxiURjlWsDJTocsb	IMG_9443.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_3449.HEIC	file	boxcneQaqh4xq2FAO7c01uHbP5d	IMG_3449.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0717.MOV	file	boxcnjmNVnuWtZD4bqf3SiwxJsh	IMG_0717.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0713.MOV	file	boxcnJkLLZ0RuGaMIu5Z6vCgEse	IMG_0713.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_6575.HEIC	file	boxcnK5do2zv9IgDP3bRHu6Rvpc	IMG_6575.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0712.MOV	file	boxcntlihqxntIuuNcsTmPb67Vc	IMG_0712.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0696.HEIC	file	boxcnsepoMh6Ke37maP5viIiUYc	IMG_0696.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0711.MOV	file	boxcnZqU1b2cKYRL0b7dBLwL2qf	IMG_0711.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_5667.HEIC	file	boxcnK1Jf4jj7JUK7uuagjrrRKy	IMG_5667.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0808.HEIC	file	boxcnSXNMblJF2PNg2NgaFkSiZe	IMG_0808.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_3615.HEIC	file	boxcnB37V6vRzjxXAhfyKoqhudf	IMG_3615.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_1556.HEIC	file	boxcn5l8Es8MCKwE10xk1U7jM2b	IMG_1556.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0687.HEIC	file	boxcngBZovT2Et0myEOVkufvi5f	IMG_0687.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0691.HEIC	file	boxcnLXrZS5kq3VEZPp0ggQ6Hlh	IMG_0691.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0690.HEIC	file	boxcn4u8Vx3eCPZgAKRs9PzIvNh	IMG_0690.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0720.HEIC	file	boxcnDwkYC2JkFGuGEjMOt98qfe	IMG_0720.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_4077.HEIC	file	boxcniXErWuYNroqUhEv0JrT3hc	IMG_4077.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0689.HEIC	file	boxcnZkf6DFy3f3lqtFS6quS0De	IMG_0689.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0723.HEIC	file	boxcnEJv9SX567BMTWfYluUkgVh	IMG_0723.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0719.HEIC	file	boxcnEiFRMDmJI0tR5lTs4wnQgb	IMG_0719.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0685.HEIC	file	boxcnUr2vzbbT45t8nqxLjUgFoh	IMG_0685.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_3894.HEIC	file	boxcnjCcUgzKRMRO72TPewolZQd	IMG_3894.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0692.HEIC	file	boxcniDp48l7QRV96bo1MR1JEzh	IMG_0692.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_1762.HEIC	file	boxcnClsUITyEhfSM69i85gWpig	IMG_1762.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/WechatIMG4.jpeg	file	boxcnmJXOf9kApTmKmclJ03AySg	WechatIMG4.jpeg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_1518.HEIC	file	boxcn20sZZROH1rz8dZnEOrhL2J	IMG_1518.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0688.HEIC	file	boxcnr68qpS4vYjoxFqbZF2lcKd	IMG_0688.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0722.HEIC	file	boxcn28baLLCJt13lcBXcyWQNgd	IMG_0722.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_6184.HEIC	file	boxcnol02AqUI7PgLWf0zoIC4Pb	IMG_6184.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0721.MOV	file	boxcnUjplV5bORbdBoMUf1gXbJb	IMG_0721.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_4137.HEIC	file	boxcn2aNd7ssiEKSP18GMQTO3Xd	IMG_4137.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0726.MOV	file	boxcniUy0mgDcBUorrscR1bwWHh	IMG_0726.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0727.MOV	file	boxcnJj4HsxjbsFyUBNFNu8E8dd	IMG_0727.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_5160.HEIC	file	boxcnYLApF7dJE0s75RvJgPrYph	IMG_5160.HEIC	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0725.MOV	file	boxcnrGrweEZ6UkK2CqznGqRX4c	IMG_0725.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0724.MOV	file	boxcnpDBnk9aFs9IpXOswoT22sR	IMG_0724.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/工厂图/IMG_0718.MOV	file	boxcnSj94TMIbYMAxkz4R6wruFf	IMG_0718.MOV	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/中粮可口可乐叉车安全管理.docx	file	boxcnCuw0UskOp8aGxBr48PAUve	中粮可口可乐叉车安全管理.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/中粮可口可乐叉车防撞项目需求说明书 1.docx	file	boxcn2ZICuGlF9dMobHwvD5cGPb	中粮可口可乐叉车防撞项目需求说明书 1.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/可口可乐定位示意图(1).pptx	file	boxcnXIbtVXqcuIrnOsoNact4gh	可口可乐定位示意图(1).pptx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中粮可口可乐/可口可乐定位示意图.pptx	file	boxcnJVeWTDlJQWkVQoMckkoNBg	可口可乐定位示意图.pptx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/宝冶钢厂定位项目/红点定位宝冶钢厂定位解决方案V1.1.docx	file	boxcn04juHNKNllQwyLhYTsoMPc	红点定位宝冶钢厂定位解决方案V1.1.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/宝冶钢厂定位项目/2 联合厂房二_施工图.dwg	file	boxcnVGleYGCv9kCc2TfsIlU80b	2 联合厂房二_施工图.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中奕信息/WechatIMG205.png	file	boxcnv1kI7me3SLZDyYcclKVozh	WechatIMG205.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中奕信息/轨道交通智能管理系统完整版-中奕.mp4	file	boxcnP6TcmnH1V8yA2yhlKqy0Fe	轨道交通智能管理系统完整版-中奕.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中奕信息/中奕信息.png	file	boxcn5gRdEhajC63VFt0dVvOYRf	中奕信息.png	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中奕信息/轨道交通智能管理系统-中奕.mp4	file	boxcnMl7HKMIqNFV0pHsqmmpWOd	轨道交通智能管理系统-中奕.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/中奕信息/logo.ico	file	boxcnwfwVfVjlxDen9ColI3ymed	logo.ico	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/天津展厅/WechatIMG19958.jpeg	file	boxcn11ulkvmFL16TMWTkGgxpSf	WechatIMG19958.jpeg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/天津展厅/Drawing1.dwg	file	boxcnCJvEOj9V4iggzGutjZKqae	Drawing1.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/天津展厅/创意产业园厂房施工图.pdf	file	boxcnIUlWY2GBx16Vuwg9VJl1fT	创意产业园厂房施工图.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/天津展厅/创意产业园厂房施工图.jpg	file	boxcn6AuaNNCYTa47QXLQ8Tt7Mb	创意产业园厂房施工图.jpg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/地铁停车场/地铁停车场平面图-v0.2.dwl2	file	boxcnoJ7pgoFoJK85U6B9Y3jpdJ	地铁停车场平面图-v0.2.dwl2	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/地铁停车场/地铁停车场平面图-v0.2.dwg	file	boxcnDA5CgfWsHHc1RylFY4toMh	地铁停车场平面图-v0.2.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/地铁停车场/地铁停车场平面图-v0.2.dwl	file	boxcnE4uhnhMyFyVR5WDnr4HoMe	地铁停车场平面图-v0.2.dwl	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/机车检修智能管理方案/机车检修智能管理方案 1.docx	file	boxcnQUPNUVRXYMkX51clLK0VJd	机车检修智能管理方案 1.docx	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/捷普/Zebra BB  layout 20201130.dxf	file	boxcnOyQQavA8qaZbpxdCqpjMKd	Zebra BB  layout 20201130.dxf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/捷普/Zebra BB  layout 20201130.pdf	file	boxcnY2uGJesFnxFLIkKRHsWjfb	Zebra BB  layout 20201130.pdf	❌ 未迁移
云空间/莱讯科技/项目资料管理/999. 归档项目/捷普/Zebra BB  layout 20201130.dwg	file	boxcngQwvN74DyhJmt0Bi7dukLd	Zebra BB  layout 20201130.dwg	❌ 未迁移
云空间/莱讯科技/项目资料管理/项目评估/【园区定位定位】项目工时评估表	sheet	HmVEsiI68hWNdJtuhn3cmFwGnTe	【园区定位定位】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/广州机场工作量评估	sheet	FC09svoQ0hB36Itoxo3cR0a9nNd	广州机场工作量评估	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/【SFL Plug & Play】项目工时评估表	sheet	EriHsGnqAhTt49t3FhycDMwTn0e	【SFL Plug & Play】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/【游乐园定位】项目工时评估表	sheet	DB6ns3Btqh1XKgt9DEncaeKJncd	【游乐园定位】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/【室内外定位平台】项目工时评估表	sheet	MyFOslxlrhTxACtyVivcJd79n5g	【室内外定位平台】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/产品模块架构图	docx	KpbkdHgh1onLB2xeq5FcpSUdnke	产品模块架构图	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/项目评估/【洛阳石化】项目工时评估表	sheet	NfkSsVCXShO7Yotf0KBcseEGn5g	【洛阳石化】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/【医院导航】项目工时评估表	sheet	LZsws7wcHhmeOEtQBS9cscV1nKc	【医院导航】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/T3航站楼行李手推车和委外人员定位管理规模评估.xlsx	file	Eru7bdxXko3p5RxkE2SctYpJnze	T3航站楼行李手推车和委外人员定位管理规模评估.xlsx	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/武汉机场英文版工时评估表	sheet	TQRbshupGhuanttSDZkcqT1pnlh	武汉机场英文版工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/【JinKo 人员定位】项目工时评估表	sheet	GlfPs8sJIhvqKltqZGGcOijynxb	【JinKo 人员定位】项目工时评估表	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/酒店需求功能规模评估.xlsx	file	CwoHbheu2ozm2xxa9aNcjdnenyd	酒店需求功能规模评估.xlsx	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/项目评估/智慧货仓功能点规模评估.xlsx	file	M4eObqcHsoj4f0xwtQJcmAQvnfh	智慧货仓功能点规模评估.xlsx	✅ 已迁移(文件)
云空间/莱讯科技/项目资料管理/展会/20230517上海展会/5月18日莱讯科技.mp4	file	ZK45bRCTooIqaKxoVgVcfHKenTe	5月18日莱讯科技.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/展会/20230517上海展会/5月17日莱讯科技.mp4	file	WZalbakT1oebhsx1PEBcqYvinXe	5月17日莱讯科技.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/展会/2023CITE_P8_莱迅（苏州）计算机科技有限公司 .mp4	file	OWd6bsifDoWOGhxclnkcLzMjnxg	2023CITE_P8_莱迅（苏州）计算机科技有限公司 .mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/展会/深圳展会.mp4	file	AlxwblfRPorHanxg4I1cJgSondb	深圳展会.mp4	❌ 未迁移
云空间/莱讯科技/项目资料管理/项目管理	bitable	bascn8p8PpJEyLNk6UovDb1V6Of	项目管理	✅ 已迁移(md)
云空间/莱讯科技/项目资料管理/cle测算报告	docx	KsIRdMFKRoRWqQx8yYkce8G0nys	cle测算报告	✅ 已迁移(md)
云空间/莱讯科技/公司内部资料/PPT模版/旧版模板/莱讯-硬件产品说明模板（旧版）.pptx	file	boxcnPzaHGbfbseLTwu2bo3JHfP	莱讯-硬件产品说明模板（旧版）.pptx	❌ 未迁移
云空间/莱讯科技/公司内部资料/PPT模版/旧版模板/莱讯科技PPT通用模板（旧版）.pptx	file	boxcnczQsggdMrbgpxIjgR5ZS9h	莱讯科技PPT通用模板（旧版）.pptx	❌ 未迁移
云空间/莱讯科技/公司内部资料/PPT模版/品牌手册.pptx	file	Hgeabw6IDo44nIxqkfLcbk5qnTb	品牌手册.pptx	❌ 未迁移
云空间/莱讯科技/公司内部资料/PPT模版/解决方案模板.pptx	file	ShTPbIxrDoTZY0xaMTncBYm7nlc	解决方案模板.pptx	❌ 未迁移
云空间/莱讯科技/公司内部资料/PPT模版/莱讯科技公司标题.psd	file	boxcnC8ZJYh71un4XIWNkBAo5Ch	莱讯科技公司标题.psd	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/煤棚铲车追踪系统-申请表（2025）.docx	file	UCrZbeH6Jo4i3oxRYMFcpLwgnjg	煤棚铲车追踪系统-申请表（2025）.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/煤棚铲车追踪系统-操作手册.docx	file	ImocbRUdeofNKWxNH9jcxepKn5e	煤棚铲车追踪系统-操作手册.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/煤棚铲车追踪系统-LD、STL代码.docx	file	GSKobbjNwoV4qkxVpaQcar1cnCh	煤棚铲车追踪系统-LD、STL代码.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智轮循环管家软件申请表.docx	file	EoZvb6NMwokSzPxMEFLcjrU5nqd	智轮循环管家软件申请表.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智轮循环管家软件操作手册.docx	file	Wj50b8Jw7oHjDpxGttOc1kOYnJY	智轮循环管家软件操作手册.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智轮循环管家软件-LD、STL代码.docx	file	X5jMbhBLuoPuOsx9x2acMPj3nH5	智轮循环管家软件-LD、STL代码.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智慧工厂定位系统申请表.docx	file	WKEkbWU0norbLExi91bcPXMengb	智慧工厂定位系统申请表.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智慧工厂定位系统操作手册.docx	file	QPM0b9m6kouM7ax0wZQctilunVh	智慧工厂定位系统操作手册.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/智慧工厂定位系统-LD、STL代码.docx	file	Xy8sbUtqRoX0HvxhkEFckdYsnIe	智慧工厂定位系统-LD、STL代码.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/煤棚货车追踪系统用户手册.docx	file	QQpkbHPYYo0D9qxMPEUcnLq5nEf	煤棚货车追踪系统用户手册.docx	❌ 未迁移
云空间/莱讯科技/公司内部资料/软著的立项资料/2025年/煤棚货车追踪系统申请表.docx	file	DWslbZS7ToS1dKx3xOwcRvSknqb	煤棚货车追踪系统申请表.docx	❌ 未迁移
